data,fold,model,start_train,finish_train,p@5,p@10,p@15,p@20,r@5,r@10,r@15,r@20,g@5,g@10,g@15,g@20
ebnerd_demo,1,FairGANModel,2025-01-05 09:00:55.585438,2025-01-05 09:07:10.861549,0.060282574568288866,0.05274725274725275,0.04908424908424908,0.046742543171114606,0.012501558458564358,0.022034111682421312,0.03049907154260137,0.03868923041565649,0.0633759670112827,0.058519784152707664,0.05740054728220349,0.057636933592068715
ebnerd_demo,2,FairGANModel,2025-01-05 09:07:17.878134,2025-01-05 09:13:35.018006,0.05902668759811618,0.05416012558869702,0.050758765044479334,0.04815541601255888,0.013459350843917903,0.02446572525687378,0.033199126599882715,0.04101235380713009,0.06093758098222823,0.0590320501908786,0.05863361494440045,0.059221945408011664
ebnerd_demo,3,FairGANModel,2025-01-05 09:13:41.995441,2025-01-05 09:19:56.165102,0.05353218210361068,0.04411302982731554,0.04322344322344322,0.043092621664050236,0.01199382818204305,0.020015213947940345,0.02788609421192992,0.035558489678915534,0.0538129155925141,0.04870624365576729,0.04949877268454712,0.05132210858444366
ebnerd_demo,4,FairGANModel,2025-01-05 09:20:03.358964,2025-01-05 09:26:25.112756,0.05667189952904239,0.05180533751962323,0.04934589220303506,0.046153846153846156,0.0126869801813214,0.021716230973357103,0.030819716343411564,0.03714363496025379,0.05855869115321937,0.05612088129718193,0.05622739021660917,0.055891256670659334
ebnerd_demo,5,FairGANModel,2025-01-05 09:26:32.218959,2025-01-05 09:33:03.039054,0.05321821036106751,0.049843014128728415,0.04620617477760335,0.043916797488226064,0.012334576839176955,0.022256524684524204,0.031475343879528384,0.03860406193929214,0.053886805590724444,0.053150372349373094,0.05289821700179292,0.053470771643644346
ebnerd_demo,1,DiffModel,2025-01-05 09:33:10.305919,2025-01-05 09:34:20.091391,0.04301412872841444,0.033594976452119306,0.030088958660387227,0.02916012558869702,0.007878671498042212,0.01219324028100822,0.015551084166344636,0.01880322587422775,0.045032769763277414,0.03844505815902411,0.036138172769848834,0.03579412144424391
ebnerd_demo,2,DiffModel,2025-01-05 09:34:39.893355,2025-01-05 09:35:49.186562,0.03233908948194663,0.031318681318681325,0.02899005756148613,0.02861067503924647,0.006087748749490965,0.010815063627810912,0.014544218633666584,0.01850842307633585,0.038706683902468876,0.03656298358256066,0.03511365167584403,0.03530048219068257
ebnerd_demo,3,DiffModel,2025-01-05 09:36:09.884641,2025-01-05 09:37:18.659627,0.040031397174254316,0.04427001569858713,0.04170591313448457,0.03932496075353218,0.006665213146465137,0.014357155062424437,0.02036330112181553,0.025151269827440464,0.040731132168204946,0.04371028617853234,0.043336559794055624,0.04288309495710003
ebnerd_demo,4,DiffModel,2025-01-05 09:37:38.632525,2025-01-05 09:38:54.030150,0.04254317111459968,0.03916797488226059,0.037885923600209315,0.03744113029827316,0.007745176997502478,0.01340734156776782,0.018204570092088694,0.02392533109657139,0.042918828945005205,0.041226404009617724,0.0410562120254311,0.041866058956272253
ebnerd_demo,5,DiffModel,2025-01-05 09:39:13.798592,2025-01-05 09:40:23.182041,0.018995290423861853,0.02197802197802198,0.02527472527472528,0.025941915227629515,0.0030410232106426755,0.006710760429962805,0.012414803404379799,0.016681249347796204,0.019101230699809263,0.02154090825359173,0.024710604447133827,0.026319677560959393
