data,fold,model,start_train,finish_train,p@5,p@10,p@15,p@20,r@5,r@10,r@15,r@20,g@5,g@10,g@15,g@20
ebnerd_demo,1,FairGANModel,2025-01-05 07:41:11.553419,2025-01-05 07:53:44.001303,0.07032967032967033,0.06687598116169544,0.06405023547880691,0.060400313971742545,0.020129204758780904,0.03453801055939415,0.046896233819150326,0.05560493255791348,0.07393891325768026,0.07373798018500367,0.07537688545187667,0.07627027141628157
ebnerd_demo,2,FairGANModel,2025-01-05 07:53:51.223049,2025-01-05 08:06:27.341420,0.07708006279434852,0.07158555729984302,0.06467817896389326,0.06177394034536892,0.018656050668874512,0.03315999438798405,0.04302499698121602,0.05425319025771222,0.08232800255250701,0.07958572557974337,0.07744185259106735,0.07849248690313286
ebnerd_demo,3,FairGANModel,2025-01-05 08:06:34.276490,2025-01-05 08:19:04.626006,0.07299843014128729,0.06891679748822606,0.06698063840920983,0.06334379905808478,0.0190137880428183,0.03357702453499161,0.04838048046376288,0.05828636753953979,0.07820565556520753,0.07695665845391797,0.07869070881587635,0.07922079934162954
ebnerd_demo,4,FairGANModel,2025-01-05 08:19:11.853768,2025-01-05 08:31:43.452463,0.07692307692307693,0.0717425431711146,0.06776556776556777,0.06542386185243329,0.018683935627086302,0.03317768515104464,0.045452337761245264,0.05779285375935206,0.08319339761039514,0.08026532376089034,0.08019830613526252,0.08205228172337559
ebnerd_demo,5,FairGANModel,2025-01-05 08:31:50.522276,2025-01-05 08:44:16.498481,0.06483516483516484,0.06169544740973312,0.06148613291470434,0.05824175824175824,0.01752630394043641,0.032015199556947094,0.04421262795409378,0.05435234910448585,0.06669470303648202,0.06661985795504316,0.07001988469394926,0.07167500309372389
ebnerd_demo,1,DiffModel,2025-01-05 08:44:23.563812,2025-01-05 08:46:56.523431,0.033124018838304556,0.03751962323390894,0.0359497645211931,0.033202511773940346,0.005615193547842837,0.012246590031918426,0.017103666197976413,0.020927434935931393,0.036992239503686596,0.03930594921047242,0.038899920663104,0.03791178748455515
ebnerd_demo,2,DiffModel,2025-01-05 08:47:16.854913,2025-01-05 08:49:47.998809,0.03437990580847723,0.033437990580847725,0.031868131868131866,0.029474097331240186,0.0044213090931855825,0.00961989936630437,0.013844079639402656,0.01715949341460087,0.035973827725499306,0.035102249740804815,0.03441218320828688,0.03330744636754228
ebnerd_demo,3,DiffModel,2025-01-05 08:50:07.442070,2025-01-05 08:52:39.128706,0.03799058084772371,0.03383045525902669,0.03291470434327577,0.030023547880690737,0.006071897903552017,0.010518930178442977,0.015278670454630548,0.018384391501038287,0.037790725822844776,0.03522025595268975,0.03517087458900985,0.03395672801616016
ebnerd_demo,4,DiffModel,2025-01-05 08:52:58.035156,2025-01-05 08:55:44.986275,0.03233908948194662,0.03076923076923077,0.03281004709576138,0.03214285714285715,0.004876157856428235,0.009481718787509027,0.015148154641792337,0.01957892975912652,0.03028373725382748,0.030209581967458852,0.03255011544920929,0.03329160376138918
ebnerd_demo,5,DiffModel,2025-01-05 08:56:04.559316,2025-01-05 08:58:39.377772,0.035164835164835165,0.03736263736263736,0.03291470434327577,0.03304552590266876,0.005582360694536771,0.012794889666112898,0.016158265996250285,0.020820478162211126,0.03541265588615529,0.03767557921238147,0.03553559893904908,0.03633116760587796
